                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.256,                 2.8788,                 1.4931,                 1.1795,                 11.431,                 1.4096,                0.64905,                  0.342,                0.36818,                0.20579,                 1.5389,                 3.2153,                 1.5817,                 1.3861,                 7.0707,                 1.4632,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.1387,                 1.7519,                 1.2904,                 1.1646,                  3.601,                 1.3474,                0.58952,                0.65348,                0.63922,                0.46482,                 0.9163,                 6.6566,                 1.2593,                 1.0656,                  4.283,                 1.3422,              0.0009029,              0.0009029,              0.0009029
                      3,                 1.1914,                 1.7054,                 1.3646,                 1.2793,                 2.4823,                 1.3984,                0.08825,                0.62354,                0.13358,                0.07813,                 1.2065,                 7.8875,                 1.6344,                 1.4233,                 23.532,                 1.9543,              0.0013043,              0.0013043,              0.0013043
                      4,                 1.2522,                 1.4658,                 1.3631,                 1.3525,                 1.9252,                 1.4176,                0.34614,                0.27244,                0.04516,                0.03211,                 1.5688,                 12.179,                 1.6851,                 1.6688,                 10.044,                 1.8985,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1711,                 1.1809,                 1.3338,                 1.3104,                 1.5627,                 1.4269,                0.63489,                0.16606,                0.28191,                0.17655,                 2.1542,                  12.93,                 2.5408,                 2.1779,                 4.5991,                 2.7784,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.1389,                 1.2578,                 1.2763,                 1.3118,                 1.6459,                 1.4077,                0.51253,                0.67633,                0.62683,                0.44342,                 1.1356,                 6.8912,                 1.3135,                 1.2325,                 4.9684,                 1.3718,              0.0012026,              0.0012026,              0.0012026
                      7,                  1.145,                 1.1054,                 1.2688,                 1.3389,                  1.452,                 1.4158,                0.62896,                0.72078,                0.64133,                 0.4597,                0.97905,                 1.3768,                 1.1377,                 1.0997,                 1.9936,                 1.1738,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.0769,                 0.9928,                 1.2373,                 1.2024,                 1.2391,                   1.35,                0.81592,                0.76097,                0.75658,                0.57087,                0.91341,                0.85712,                 1.0924,                 1.0373,                 1.6968,                 1.1714,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.0324,                 0.8936,                 1.1974,                 1.2263,                 1.1275,                 1.3199,                0.74087,                0.64723,                 0.7034,                0.47205,                 1.3365,                 1.2781,                 1.4304,                  1.438,                  1.583,                 1.5209,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.0866,                0.90635,                 1.2264,                 1.2417,                 1.1389,                 1.3317,                0.80454,                0.78805,                0.82072,                0.62963,                0.89342,                0.86655,                 1.1328,                0.98974,                0.98251,                 1.2869,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.0353,                0.89876,                  1.203,                 1.2024,                 1.0432,                 1.2873,                0.90533,                 0.8208,                0.90744,                0.69294,                0.92644,                0.96986,                 1.1334,                0.97946,                0.86299,                 1.1765,              0.0009197,              0.0009197,              0.0009197
                     12,                0.98661,                0.80521,                 1.1637,                 1.1019,                0.92351,                 1.2255,                0.76957,                0.87911,                0.93901,                0.73037,                0.83638,                0.74341,                 1.0152,                0.99068,                0.73856,                 1.1364,             0.00086312,             0.00086312,             0.00086312
